descriptor,pfi_importance,pfi_std
VSA_EState5,0.0,0.0
VSA_EState6,0.0,0.0
FractionCSP3,0.0,0.0
NHOHCount,0.0,0.0
NumAliphaticCarbocycles,0.0,0.0
NumAliphaticHeterocycles,0.0,0.0
NumAliphaticRings,0.0,0.0
NumAmideBonds,0.0,0.0
NumAromaticCarbocycles,0.0,0.0
NumAromaticHeterocycles,0.0,0.0
NumAromaticRings,0.0,0.0
NumAtomStereoCenters,0.0,0.0
NumBridgeheadAtoms,0.0,0.0
NumHDonors,0.0,0.0
NumHeterocycles,0.0,0.0
NumSaturatedCarbocycles,0.0,0.0
NumSaturatedHeterocycles,0.0,0.0
NumSaturatedRings,0.0,0.0
NumSpiroAtoms,0.0,0.0
NumUnspecifiedAtomStereoCenters,0.0,0.0
RingCount,0.0,0.0
fr_Al_COO,0.0,0.0
fr_Al_OH,0.0,0.0
fr_Al_OH_noTert,0.0,0.0
fr_ArN,0.0,0.0
fr_Ar_COO,0.0,0.0
fr_Ar_N,0.0,0.0
fr_Ar_NH,0.0,0.0
fr_Ar_OH,0.0,0.0
fr_COO,0.0,0.0
fr_COO2,0.0,0.0
fr_C_O,0.0,0.0
fr_C_O_noCOO,0.0,0.0
fr_C_S,0.0,0.0
fr_HOCCN,0.0,0.0
fr_Imine,0.0,0.0
fr_NH0,0.0,0.0
fr_NH1,0.0,0.0
fr_NH2,0.0,0.0
fr_N_O,0.0,0.0
fr_Ndealkylation1,0.0,0.0
fr_Ndealkylation2,0.0,0.0
fr_Nhpyrrole,0.0,0.0
fr_SH,0.0,0.0
fr_aldehyde,0.0,0.0
fr_alkyl_carbamate,0.0,0.0
fr_alkyl_halide,0.0,0.0
fr_allylic_oxid,0.0,0.0
fr_amide,0.0,0.0
fr_amidine,0.0,0.0
fr_aniline,0.0,0.0
fr_aryl_methyl,0.0,0.0
fr_azide,0.0,0.0
fr_azo,0.0,0.0
fr_barbitur,0.0,0.0
fr_benzene,0.0,0.0
fr_benzodiazepine,0.0,0.0
fr_bicyclic,0.0,0.0
fr_diazo,0.0,0.0
fr_dihydropyridine,0.0,0.0
fr_epoxide,0.0,0.0
fr_ester,0.0,0.0
fr_furan,0.0,0.0
fr_guanido,0.0,0.0
fr_halogen,0.0,0.0
fr_hdrzine,0.0,0.0
fr_hdrzone,0.0,0.0
fr_imidazole,0.0,0.0
fr_imide,0.0,0.0
fr_isocyan,0.0,0.0
fr_isothiocyan,0.0,0.0
fr_ketone,0.0,0.0
fr_ketone_Topliss,0.0,0.0
fr_lactam,0.0,0.0
fr_lactone,0.0,0.0
fr_morpholine,0.0,0.0
fr_nitrile,0.0,0.0
fr_nitro,0.0,0.0
fr_nitro_arom,0.0,0.0
fr_nitro_arom_nonortho,0.0,0.0
fr_nitroso,0.0,0.0
fr_oxazole,0.0,0.0
fr_oxime,0.0,0.0
fr_para_hydroxylation,0.0,0.0
fr_phenol,0.0,0.0
fr_phenol_noOrthoHbond,0.0,0.0
fr_phos_acid,0.0,0.0
fr_phos_ester,0.0,0.0
fr_piperdine,0.0,0.0
fr_piperzine,0.0,0.0
fr_priamide,0.0,0.0
fr_prisulfonamd,0.0,0.0
fr_pyridine,0.0,0.0
fr_quatN,0.0,0.0
fr_sulfide,0.0,0.0
fr_sulfonamd,0.0,0.0
fr_sulfone,0.0,0.0
fr_term_acetylene,0.0,0.0
fr_tetrazole,0.0,0.0
fr_thiazole,0.0,0.0
fr_thiocyan,0.0,0.0
fr_thiophene,0.0,0.0
fr_urea,0.0,0.0
fr_methoxy,-6.371731057219776e-08,8.260733202562318e-07
HeavyAtomCount,-2.3854913301479817e-06,8.330945007715103e-05
SMR_VSA1,-4.708671606223902e-06,0.0006151242035765773
EState_VSA3,-1.2470424442867501e-05,0.00017715231670051935
ExactMolWt,-3.0248585720282774e-05,0.0005250626500447546
Chi0,-3.064141590295444e-05,0.00034441833564495295
NumValenceElectrons,-3.3000104337443934e-05,0.00036183420968821824
Chi1,-3.996876632947899e-05,0.00044243171097144623
PEOE_VSA6,-5.0339782728769936e-05,6.0635547155330035e-05
MaxPartialCharge,-5.9665096570460374e-05,0.000840714222418799
SlogP_VSA2,-9.228635258358153e-05,0.0001709079288040809
Chi4v,-9.598591917104881e-05,0.00035477193636643565
SlogP_VSA5,-0.00010150356899832902,0.00010949182704183726
MolWt,-0.0001738793564468044,0.0007428666328860884
BCUT2D_LOGPLOW,-0.0001781888072997173,0.000946775305393047
SPS,-0.0002528963192547806,0.0012328074127190235
MinPartialCharge,-0.0003533222257076085,0.0010366953768489568
